ad_set,ad,direction,ratio,path
AS_CreditCard_NW,CC_Lawsuit,illustration,1x1,creatives/CC_Lawsuit/CC_Lawsuit_illustration_1x1.png
AS_CreditCard_NW,CC_Lawsuit,illustration,4x5,creatives/CC_Lawsuit/CC_Lawsuit_illustration_4x5.jpeg
AS_CreditCard_NW,CC_Lawsuit,illustration,9x16,creatives/CC_Lawsuit/CC_Lawsuit_illustration_9x16.png
AS_CreditCard_NW,CC_Lawsuit,illustration,1.91x1,creatives/CC_Lawsuit/CC_Lawsuit_illustration_1.91x1.png
AS_CreditCard_NW,CC_Lawsuit,photo,1x1,creatives/CC_Lawsuit/CC_Lawsuit_photo_1x1.png
AS_CreditCard_NW,CC_Lawsuit,photo,4x5,creatives/CC_Lawsuit/CC_Lawsuit_photo_4x5.jpeg
AS_CreditCard_NW,CC_Lawsuit,photo,9x16,creatives/CC_Lawsuit/CC_Lawsuit_photo_9x16.png
AS_CreditCard_NW,CC_Lawsuit,photo,1.91x1,creatives/CC_Lawsuit/CC_Lawsuit_photo_1.91x1.png
AS_CreditCard_NW,CC_Lawsuit,stilllife,1x1,creatives/CC_Lawsuit/CC_Lawsuit_stilllife_1x1.png
AS_CreditCard_NW,CC_Lawsuit,stilllife,4x5,creatives/CC_Lawsuit/CC_Lawsuit_stilllife_4x5.jpeg
AS_CreditCard_NW,CC_Lawsuit,stilllife,9x16,creatives/CC_Lawsuit/CC_Lawsuit_stilllife_9x16.png
AS_CreditCard_NW,CC_Lawsuit,stilllife,1.91x1,creatives/CC_Lawsuit/CC_Lawsuit_stilllife_1.91x1.png
AS_CreditCard_NW,CC_Lawsuit,video,9x16,creatives/CC_Lawsuit/CC_Lawsuit_video_9x16.mp4
AS_CreditCard_NW,CC_Harassment,illustration,1x1,creatives/CC_Harassment/CC_Harassment_illustration_1x1.png
AS_CreditCard_NW,CC_Harassment,illustration,4x5,creatives/CC_Harassment/CC_Harassment_illustration_4x5.jpeg
AS_CreditCard_NW,CC_Harassment,illustration,9x16,creatives/CC_Harassment/CC_Harassment_illustration_9x16.png
AS_CreditCard_NW,CC_Harassment,illustration,1.91x1,creatives/CC_Harassment/CC_Harassment_illustration_1.91x1.png
AS_CreditCard_NW,CC_Harassment,photo,1x1,creatives/CC_Harassment/CC_Harassment_photo_1x1.png
AS_CreditCard_NW,CC_Harassment,photo,4x5,creatives/CC_Harassment/CC_Harassment_photo_4x5.jpeg
AS_CreditCard_NW,CC_Harassment,photo,9x16,creatives/CC_Harassment/CC_Harassment_photo_9x16.png
AS_CreditCard_NW,CC_Harassment,photo,1.91x1,creatives/CC_Harassment/CC_Harassment_photo_1.91x1.png
AS_CreditCard_NW,CC_Harassment,stilllife,1x1,creatives/CC_Harassment/CC_Harassment_stilllife_1x1.png
AS_CreditCard_NW,CC_Harassment,stilllife,4x5,creatives/CC_Harassment/CC_Harassment_stilllife_4x5.jpeg
AS_CreditCard_NW,CC_Harassment,stilllife,9x16,creatives/CC_Harassment/CC_Harassment_stilllife_9x16.png
AS_CreditCard_NW,CC_Harassment,stilllife,1.91x1,creatives/CC_Harassment/CC_Harassment_stilllife_1.91x1.png
AS_CreditCard_NW,CC_Harassment,video,9x16,creatives/CC_Harassment/CC_Harassment_video_9x16.mp4
AS_CreditCard_NW,CC_Negotiation,illustration,1x1,creatives/CC_Negotiation/CC_Negotiation_illustration_1x1.png
AS_CreditCard_NW,CC_Negotiation,illustration,4x5,creatives/CC_Negotiation/CC_Negotiation_illustration_4x5.png
AS_CreditCard_NW,CC_Negotiation,illustration,9x16,creatives/CC_Negotiation/CC_Negotiation_illustration_9x16.png
AS_CreditCard_NW,CC_Negotiation,illustration,1.91x1,creatives/CC_Negotiation/CC_Negotiation_illustration_1.91x1.png
AS_CreditCard_NW,CC_Negotiation,photo,1x1,creatives/CC_Negotiation/CC_Negotiation_photo_1x1.png
AS_CreditCard_NW,CC_Negotiation,photo,4x5,creatives/CC_Negotiation/CC_Negotiation_photo_4x5.png
AS_CreditCard_NW,CC_Negotiation,photo,9x16,creatives/CC_Negotiation/CC_Negotiation_photo_9x16.png
